"Block","Treatment","Density","sp","tag","DBH","Ht","collection","Julian.date","tissue","tissue_biomass","tissue_biomass_lci","tissue_biomass_uci","tissue_biomass_se","starch_fraction","starch_fraction_se","starch_fraction_lci","starch_fraction_uci","starch_fraction_lci2","starch_pool","starch_pool_se","starch_pool_lci","starch_pool_uci","starch_pool_lci2","sugar_fraction","sugar_fraction_se","sugar_fraction_lci","sugar_fraction_uci","sugar_pool","sugar_pool_se","sugar_pool_lci","sugar_pool_uci","NSC_fraction","NSC_fraction_se","NSC_fraction_lci","NSC_fraction_uci","NSC_pool","NSC_pool_se","NSC_pool_lci","NSC_pool_uci"
"B4","C","2m","C","1",19.73144698,13.5,"1-leaf out",111,"Branches",111.648147665169,65.7198302703213,189.6734794626,31.6208288755813,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,4.1835046652684,1.38829046861909,1.46245534677498,6.90455398376181,1.46245534677498,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,4.1983903360685,1.28759592042637,1.67470233203281,6.72207834010419,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,8.56812604714504,2.57786105975932,3.51551837001676,13.6207337242733
"B4","C","2m","C","2",11.04536102,10.7,"1-leaf out",111,"Branches",8.12941393993112,6.50617529724738,10.1576376269337,0.931495492266912,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.30461267701094,0.0631952946164345,0.180749899562728,0.428475454459151,0.180749899562728,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.305696544340924,0.0502069813450807,0.207290860904566,0.404102227777282,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.62386922473303,0.0955093931313131,0.436670814195656,0.811067635270403
"B4","C","2m","C","3",12.71416533,11,"1-leaf out",111,"Branches",12.9826541202594,10.1568123242552,16.5947053687092,1.64231965419747,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.486465697958153,0.104236901119654,0.282161371763631,0.690770024152675,0.282161371763631,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.488196631425364,0.0843426464774024,0.322885044329655,0.653508218521073,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.996317621519953,0.161607324942852,0.679567264631963,1.31306797840794
"B4","C","2m","C","4",7.310950691,9.7,"1-leaf out",111,"Branches",2.71635474993105,2.11223025951182,3.49326646289894,0.352305153925285,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.10178299422343,0.0220030948771071,0.0586569282643,0.14490906018256,0.0586569282643,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.102145156636594,0.0178874455221727,0.0670857634131359,0.137204549860053,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.208459077672914,0.0343352607711854,0.14116196656139,0.275756188784437
"B4","C","2m","C","5",8.3,10.3,"1-leaf out",111,"Branches",3.81604381433108,2.97294512107975,4.89823720244309,0.491145939123301,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.142988821883546,0.0308259145923996,0.0825700292824427,0.203407614484649,0.0825700292824427,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.143497602129048,0.0250237277460588,0.0944510957467725,0.192544108511323,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.29285165124882,0.048007070539885,0.198757792990645,0.386945509506995
"B4","C","2m","C","6",6.9,9.6,"1-leaf out",111,"Branches",2.41125380711956,1.85458016537779,3.13501946741904,0.326642679092156,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.0903507291628617,0.0198487604583887,0.0514471586644199,0.129254299661304,0.0514471586644199,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.0906722134968063,0.0162694806401739,0.0587840314420655,0.122560395551547,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.185044955810799,0.0313261109524845,0.123645778343929,0.246444133277669
"B4","C","2m","C","7",4.4,8.2,"1-leaf out",111,"Branches",1.03892414671806,0.749764804602645,1.43960262739444,0.175979036426478,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.0389289397589435,0.00942388698920463,0.0204581212601024,0.0573997582577846,0.0204581212601024,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.0390674560098418,0.00805740399232124,0.0232749441848922,0.0548599678347914,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.0797293392560241,0.0157451579174261,0.0488688297378689,0.110589848774179
"B4","C","2m","C","8",11.38507795,10.1,"1-leaf out",111,"Branches",8.10884164165837,6.69288577301135,9.82435902830419,0.798845218186949,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.303841824044731,0.0604760133513664,0.185308837876053,0.42237481021341,0.185308837876053,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.304922948539603,0.0467935420865916,0.213207606049884,0.396638291029323,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.622290461015346,0.0880339545696833,0.449743910058767,0.794837011971925
"B4","C","2m","C","9",11.90336087,10.4,"1-leaf out",111,"Branches",9.66923546647644,7.85093483342209,11.9086601137171,1.03513400007526,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.362310459506195,0.0736938247653548,0.2178705629661,0.50675035604629,0.2178705629661,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.36359962604458,0.0578402419132565,0.250232751894598,0.476966500194563,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.742038537932156,0.109481390467842,0.527455012615186,0.956622063249126
"B4","C","2m","C","10",9.4,11.5,"1-leaf out",111,"Branches",6.02610793161196,4.4672074149497,8.12901068392534,0.934133486983579,0.0374704350475627,0.00648041203969438,0.0255525887028891,0.0509558038984911,0.0255525887028891,0.225800885841068,0.0524423446444408,0.123013890337964,0.328587881344172,0.123013890337964,0.0376037616733187,0.00442460120039478,0.0290334935527343,0.0463779302582819,0.226604326478032,0.044100154480544,0.140168023696165,0.313040629259898,0.0767422140566157,0.00779143972514319,0.0618823159788152,0.0924247597013765,0.462456864816035,0.085694744732774,0.294495165139798,0.630418564492272
