sampleID,collection,Julian.date,sampling.day,sampling.date,Block,Spp,Density,tree,DBH,Ht,tissue,N_fraction,C_fraction,sugar_fraction,starch_fraction,tot_NSC_fraction,prop_sugar
NA,6-sap flow,55,283,3/5/2020,B3,C,2m,804,12.3,9.5,Inner bark,0.0021,0.4237,0.121155537,0.003704268,0.1249,0.970020312
NA,6-sap flow,55,283,3/5/2020,B1,C,2m,984,18.2,14.9,Inner bark,NA,NA,0.12346168,0.006487977,0.12995,0.950070639
NA,6-sap flow,55,283,3/5/2020,B4,C,2m,1,19.7,13.5,Inner bark,0.00405,0.43935,0.114159912,0.009651951,0.1238,0.922131757
NA,7-leaf out II,107,335,4/16/2020,B4,C,2m,5,8.3,10.3,Inner bark,NA,NA,0.078832101,0.022809687,0.1017,0.775143569
NA,7-leaf out II,107,335,4/16/2020,B3,C,2m,782,9.7,12.5,Inner bark,NA,NA,0.056367244,0.02286232,0.07925,0.711258593
NA,7-leaf out II,107,335,4/16/2020,B3,C,2m,786,11.8,10,Inner bark,0.0002,0.45,0.072343334,0.022570807,0.09495,0.761909784
NA,7-leaf out II,107,335,43937,B1,C,2m,962,13.2,13.4,Inner bark,NA,NA,0.076086069,0.015568582,0.0916,0.830633941
NA,7-leaf out II,107,335,43937,B1,C,2m,964,14.1,14.5,Inner bark,NA,NA,0.060163592,0.02939916,0.08955,0.671843568
5,1-leaf out,111,1,4/21/2019,B1,C,2m,975,6.1,9.8,Root collar,0.0041,0.292,0.03840789,0.003779922,0.0422,0.909952607
45,1-leaf out,111,1,4/21/2019,B4,C,2m,10,9.4,11.5,Root collar,0.00615,0.4003,0.010271264,0.000667622,0.011,0.936363636
29,1-leaf out,111,1,4/21/2019,B3,C,2m,802,11.3,11.2,Root collar,0.0047,0.4034,0.050983894,0.01457183,0.0656,0.777439024
21,1-leaf out,111,1,4/21/2019,B3,C,2m,800,11.5,11.6,Root collar,0.0057,0.3857,0.063233697,0.000574277,0.0638,0.990595611
37,1-leaf out,111,1,4/21/2019,B4,C,2m,3,12.7,11,Root collar,0.00515,0.4022,0.054428345,0.001894105,0.0563,0.96625222
13,1-leaf out,111,1,4/21/2019,B1,C,2m,983,14.2,16,Root collar,0.0039,0.486,0.05384692,0.005712998,0.0595,0.904201681
85,2-shoot expansion,156,45,6/5/2019,B4,C,2m,16,8.5,11.9,Root collar,0.0026,0.3842,0.044397451,0.025324892,0.0697,0.637015782
69,2-shoot expansion,156,45,6/5/2019,B3,C,2m,789,9.8,10.3,Root collar,0.003,0.3631,0.049061204,0.007861457,0.057,0.861403509
61,2-shoot expansion,156,45,6/5/2019,B1,C,2m,988,11.8,14.2,Root collar,0.0022,0.37,0.051172595,0.008136994,0.0593,0.863406408
77,2-shoot expansion,156,45,6/5/2019,B3,C,2m,794,12.8,11.2,Root collar,0.0041,0.4013,0.051301597,0.006075897,0.0574,0.893728223
53,2-shoot expansion,156,45,6/5/2019,B1,C,2m,971,13.1,11.6,Root collar,0.0024,0.3815,0.040596128,0.017138774,0.0577,0.703639515
93,2-shoot expansion,156,45,6/5/2019,B4,C,2m,23,15.6,12.3,Root collar,0.0024,0.3595,0.054565556,0.001170976,0.0558,0.978494624
117,3-bud set,233,122,8/21/2019,B3,C,2m,787,7.3,10.2,Root collar,0.0038,0.369,0.059227671,0.003578541,0.0628,0.942675159
101,3-bud set,233,122,8/21/2019,B1,C,2m,968,7.4,10.9,Root collar,0.0027,0.3773,0.073684211,0.00250753,0.0762,0.967191601
109,3-bud set,233,122,8/21/2019,B1,C,2m,981,10.1,12.4,Root collar,0.0027,0.3744,0.056227599,0.009496306,0.0657,0.855403349
125,3-bud set,233,122,8/21/2019,B3,C,2m,795,10.6,10.3,Root collar,0.004,0.3959,0.065759637,0.004088112,0.0699,0.941344778
133,3-bud set,233,122,8/21/2019,B4,C,2m,9,11.9,10.4,Root collar,0.0035,0.3634,0.077268094,0.000596035,0.0779,0.992297818
141,3-bud set,233,122,8/21/2019,B4,C,2m,11,12.5,10.6,Root collar,0.002,0.3819,0.049019608,0.002694744,0.0517,0.947775629
157,4-leaf fall,293,182,10/20/2019,B1,C,2m,976,7.3,11.7,Root collar,0.0044,0.4575,0.039396084,0.042875092,0.0823,0.47873633
181,4-leaf fall,293,182,10/20/2019,B4,C,2m,17,7.8,11.3,Root collar,0.0002,0.4544,0.041343669,0.050934965,0.0922,0.447939262
173,4-leaf fall,293,182,10/20/2019,B3,C,2m,788,9.3,10.5,Root collar,0.0009,0.3912,0.069039914,0.048673312,0.1177,0.586236194
149,4-leaf fall,293,182,10/20/2019,B1,C,2m,970,11,11.1,Root collar,0.003,0.3846,0.047946633,0.024886053,0.0728,0.657967033
165,4-leaf fall,293,182,10/20/2019,B3,C,2m,783,12.8,12.5,Root collar,0.0011,0.3613,0.058095869,0.035949729,0.094,0.618085106
189,4-leaf fall,293,182,10/20/2019,B4,C,2m,22,15.2,13.1,Root collar,0.0015,0.3886,0.057990261,0.028795504,0.0868,0.668202765
203,5-dormancy,25,253,1/25/2020,B1,C,2m,982,7.7,11.9,Root collar,0.0021,0.3934,0.116843034,0.000322261,0.1171,0.997438087
196,5-dormancy,25,253,1/25/2020,B1,C,2m,977,9.1,12.5,Root collar,0.0018,0.3933,0.081289081,0.000468743,0.0818,0.993887531
224,5-dormancy,25,253,1/25/2020,B4,C,2m,8,11.4,10.1,Root collar,0.0021,0.4003,0.015904573,0.000430536,0.0163,0.975460123
210,5-dormancy,25,253,1/25/2020,B3,C,2m,796,11.9,10.9,Root collar,0.0028,0.3134,0.099415205,0.000589545,0.1,0.994
217,5-dormancy,25,253,1/25/2020,B3,C,2m,801,12.3,11.2,Root collar,0.0012,0.4095,0.036876356,0.00046976,0.0374,0.986631016
231,5-dormancy,25,253,1/25/2020,B4,C,2m,21,19.1,13.4,Root collar,0.00265,0.41115,0.085958005,0.000426298,0.0864,0.99537037
273,6-sap flow,55,283,3/5/2020,B4,C,2m,6,6.9,9.6,Root collar,0.0043,0.3607,0.071176885,0.000801224,0.072,0.988888889
245,6-sap flow,55,283,3/5/2020,B1,C,2m,989,7.2,11.5,Root collar,0.0038,0.4097,0.049405494,0.000399556,0.0498,0.991967871
252,6-sap flow,55,283,3/5/2020,B3,C,2m,791,10.5,10,Root collar,0.0001,0.3889,0.07723064,0.000717763,0.0779,0.991014121
259,6-sap flow,55,283,3/5/2020,B3,C,2m,804,12.3,9.5,Root collar,0.0044,0.3892,0.109278351,0.001339543,0.1106,0.988245931
238,6-sap flow,55,283,3/5/2020,B1,C,2m,984,18.2,14.9,Root collar,NA,NA,0.073036398,0.000700084,0.0737,0.990502035
266,6-sap flow,55,283,3/5/2020,B4,C,2m,1,19.7,13.5,Root collar,0.0041,0.429,0.077756119,0.000633215,0.0784,0.992346939
321,7-leaf out II,107,335,4/16/2020,B4,C,2m,5,8.3,10.3,Root collar,0.0047,0.4003,0.072735386,0.003261437,0.076,0.956578947
297,7-leaf out II,107,335,4/16/2020,B3,C,2m,782,9.7,12.5,Root collar,NA,NA,0.050430504,0.001198669,0.0516,0.976744186
313,7-leaf out II,107,335,4/16/2020,B4,C,2m,2,11,10.7,Root collar,NA,NA,0.053189092,0.000658903,0.0539,0.987012987
305,7-leaf out II,107,335,4/16/2020,B3,C,2m,786,11.8,10,Root collar,NA,NA,0.074311491,0.001041151,0.0753,0.986719788
281,7-leaf out II,107,335,4/16/2020,B1,C,2m,962,13.2,13.4,Root collar,0.0008,0.4109,0.083800187,0.002274784,0.0861,0.973286876
289,7-leaf out II,107,335,4/16/2020,B1,C,2m,964,14.1,14.5,Root collar,NA,NA,0.056196581,0.000728806,0.0569,0.987697715
7,1-leaf out,111,1,4/21/2019,B1,C,2m,975,6.1,9.8,Twigs,0.0047,0.4508,0.033931142,0.004200934,0.0381,0.88976378
47,1-leaf out,111,1,4/21/2019,B4,C,2m,10,9.4,11.5,Twigs,0.0059,0.4239,0.042968195,0.052113776,0.0951,0.452155626
31,1-leaf out,111,1,4/21/2019,B3,C,2m,802,11.3,11.2,Twigs,0.00795,0.43355,0.035926875,0.036292342,0.0722,0.497229917
23,1-leaf out,111,1,4/21/2019,B3,C,2m,800,11.5,11.6,Twigs,0.008,0.4553,0.04090683,0.026080117,0.067,0.610447761
39,1-leaf out,111,1,4/21/2019,B4,C,2m,3,12.7,11,Twigs,0.00805,0.46485,0.045097062,0.024408374,0.0695,0.648920863
15,1-leaf out,111,1,4/21/2019,B1,C,2m,983,14.2,16,Twigs,0.0062,0.4269,0.042398732,0.054736246,0.0971,0.436663234
87,2-shoot expansion,156,45,6/5/2019,B4,C,2m,16,8.5,11.9,Twigs,0.0034,0.4472,0.065529572,0,0.0655,1
71,2-shoot expansion,156,45,6/5/2019,B3,C,2m,789,9.8,10.3,Twigs,0.0058,0.4248,0.052648198,0.000202559,0.0528,0.996212121
63,2-shoot expansion,156,45,6/5/2019,B1,C,2m,988,11.8,14.2,Twigs,0.0072,0.3977,0.082082734,0.000903045,0.083,0.989156627
79,2-shoot expansion,156,45,6/5/2019,B3,C,2m,794,12.8,11.2,Twigs,0.0067,0.449,0.062954643,0.000209639,0.0632,0.996835443
55,2-shoot expansion,156,45,6/5/2019,B1,C,2m,971,13.1,11.6,Twigs,0.0042,0.4473,0.047666139,0.000209233,0.0479,0.995824635
95,2-shoot expansion,156,45,6/5/2019,B4,C,2m,23,15.6,12.3,Twigs,0.0042,0.4459,0.058022142,0.001480519,0.0595,0.974789916
119,3-bud set,233,122,8/21/2019,B3,C,2m,787,7.3,10.2,Twigs,0.0045,0.4238,0.066655125,0.002786833,0.0695,0.95971223
103,3-bud set,233,122,8/21/2019,B1,C,2m,968,7.4,10.9,Twigs,0.0029,0.4341,0.060638696,0.007806533,0.0684,0.885964912
111,3-bud set,233,122,8/21/2019,B1,C,2m,981,10.1,12.4,Twigs,0.0034,0.4162,0.086004666,0.006663933,0.0927,0.92772384
127,3-bud set,233,122,8/21/2019,B3,C,2m,795,10.6,10.3,Twigs,0.003,0.4314,0.070358187,0.018062675,0.0885,0.795480226
135,3-bud set,233,122,8/21/2019,B4,C,2m,9,11.9,10.4,Twigs,0.0028,0.4495,0.068551627,0.03359528,0.1022,0.671232877
143,3-bud set,233,122,8/21/2019,B4,C,2m,11,12.5,10.6,Twigs,0.0028,0.4334,0.077803762,0.032883114,0.1107,0.702800361
159,4-leaf fall,293,182,10/20/2019,B1,C,2m,976,7.3,11.7,Twigs,0.0016,0.4052,0.04386984,0.022935318,0.0668,0.657185629
183,4-leaf fall,293,182,10/20/2019,B4,C,2m,17,7.8,11.3,Twigs,0.0006,0.4539,0.063513132,0.006734847,0.0702,0.904558405
175,4-leaf fall,293,182,10/20/2019,B3,C,2m,788,9.3,10.5,Twigs,0.0029,0.431,0.051002213,0.024806535,0.0758,0.672823219
151,4-leaf fall,293,182,10/20/2019,B1,C,2m,970,11,11.1,Twigs,0.0022,0.4338,0.057116057,0.034811114,0.0919,0.62132753
167,4-leaf fall,293,182,10/20/2019,B3,C,2m,783,12.8,12.5,Twigs,0.0025,0.4343,0.049221391,0.0611803,0.1104,0.445652174
191,4-leaf fall,293,182,10/20/2019,B4,C,2m,22,15.2,13.1,Twigs,0.002,0.4599,0.049853091,0.062082021,0.112,0.445535714
205,5-dormancy,25,253,1/25/2020,B1,C,2m,982,7.7,11.9,Twigs,0.0035,0.4646,0.10287862,0.013765285,0.1167,0.881748072
198,5-dormancy,25,253,1/25/2020,B1,C,2m,977,9.1,12.5,Twigs,0.0008,0.4506,0.012504044,0.000224758,0.0127,0.984251969
226,5-dormancy,25,253,1/25/2020,B4,C,2m,8,11.4,10.1,Twigs,0.0015,0.4598,0.098554448,0.003677693,0.1023,0.963831867
212,5-dormancy,25,253,1/25/2020,B3,C,2m,796,11.9,10.9,Twigs,0.0014,0.4598,0.082634762,0.004643785,0.0872,0.947247706
219,5-dormancy,25,253,1/25/2020,B3,C,2m,801,12.3,11.2,Twigs,0.0032,0.4448,0.126019274,0.009599915,0.1356,0.92920354
233,5-dormancy,25,253,1/25/2020,B4,C,2m,21,19.1,13.4,Twigs,0.0051,0.43825,0.09962406,0.000671521,0.1003,0.993020937
275,6-sap flow,55,283,3/5/2020,B4,C,2m,6,6.9,9.6,Twigs,0.0009,0.4645,0.089349218,0.007728543,0.097,0.920618557
247,6-sap flow,55,283,3/5/2020,B1,C,2m,989,7.2,11.5,Twigs,0.0031,0.4653,0.019521347,0.000211333,0.0197,0.989847716
254,6-sap flow,55,283,3/5/2020,B3,C,2m,791,10.5,10,Twigs,0.0029,0.4459,0.089303582,0.000625562,0.0899,0.993325918
261,6-sap flow,55,283,3/5/2020,B3,C,2m,804,12.3,9.5,Twigs,0.0026,0.4509,0.099451345,0.008594468,0.1081,0.920444033
240,6-sap flow,55,283,3/5/2020,B1,C,2m,984,18.2,14.9,Twigs,0.0059,0.4534,0.086186679,0.009260188,0.0955,0.902617801
268,6-sap flow,55,283,3/5/2020,B4,C,2m,1,19.7,13.5,Twigs,0.0017,0.4751,0.087033991,0.02263275,0.1096,0.79379562
323,7-leaf out II,107,335,4/16/2020,B4,C,2m,5,8.3,10.3,Twigs,0.0083,0.4512,0.026991428,-0.000227556,0.0268,1.007462687
299,7-leaf out II,107,335,4/16/2020,B3,C,2m,782,9.7,12.5,Twigs,0.0022,0.4541,0.065855263,0.003180772,0.0691,0.953690304
315,7-leaf out II,107,335,4/16/2020,B4,C,2m,2,11,10.7,Twigs,0.0026,0.5073,0.072498269,0.022781649,0.0953,0.760755509
307,7-leaf out II,107,335,4/16/2020,B3,C,2m,786,11.8,10,Twigs,0.0011,0.4888,0.06826575,0.038021661,0.1063,0.642521167
283,7-leaf out II,107,335,4/16/2020,B1,C,2m,962,13.2,13.4,Twigs,0.0026,0.475,0.064977258,0.011122933,0.0761,0.85413929
291,7-leaf out II,107,335,4/16/2020,B1,C,2m,964,14.1,14.5,Twigs,0.0001,0.4789,0.067341112,0.04311391,0.1104,0.609601449
C01,2-shoot expansion,156,45,6/28/2019,NA,NA,NA,2C,15.2,9.9,Inner bark,NA,NA,0.0464,0.0005,0.0469,0.989339019
C02,2-shoot expansion,156,45,6/28/2019,NA,NA,NA,2C,15.2,9.9,Xylem,NA,NA,0.0073,0.0003,0.0076,0.960526316
C03,2-shoot expansion,156,45,6/26/2019,NA,NA,NA,2D,11.6,8.4,Inner bark,NA,NA,0.0389,0.0003,0.0392,0.992346939
C04,2-shoot expansion,156,45,6/26/2019,NA,NA,NA,2D,11.6,8.4,Xylem,NA,NA,0.0048,0.0002,0.005,0.96
C05,2-shoot expansion,156,45,6/26/2019,NA,NA,NA,3C,10.1,10,Inner bark,NA,NA,0.0557,0.0007,0.0564,0.987588652
C06,2-shoot expansion,156,45,6/26/2019,NA,NA,NA,3C,10.1,10,Xylem,NA,NA,0.011,0.0003,0.0113,0.973451327
C07,2-shoot expansion,156,45,6/27/2019,NA,NA,NA,4C,11.5,8.8,Inner bark,NA,NA,0.0576,0.0135,0.0711,0.810126582
C08,2-shoot expansion,156,45,6/27/2019,NA,NA,NA,4C,11.5,8.8,Xylem,NA,NA,0.0102,0.0014,0.0116,0.879310345
C09,2-shoot expansion,156,45,7/23/2019,NA,NA,NA,5A,7.4,9.3,Inner bark,NA,NA,0.0491,0.0011,0.0502,0.978087649
C10,2-shoot expansion,156,45,7/23/2019,NA,NA,NA,5A,7.4,9.3,Xylem,NA,NA,0.0112,0.0003,0.0115,0.973913043
C11,2-shoot expansion,156,45,7/24/2019,NA,NA,NA,10H,13.2,8.6,Inner bark,NA,NA,0.0603,0.002,0.0623,0.967897271
C12,2-shoot expansion,156,45,7/24/2019,NA,NA,NA,10H,13.2,8.6,Xylem,NA,NA,0.0202,0.0027,0.0229,0.88209607
C13,4-leaf fall,293,182,10/11/2020,B1,C,2m,972,10.8,12.8,Inner bark,NA,NA,0.0751,0.0332,0.1083,0.693444137
C14,4-leaf fall,293,182,10/11/2020,B1,C,2m,972,10.8,12.8,Xylem,NA,NA,0.0191,0.0232,0.0423,0.451536643
C15,4-leaf fall,293,182,10/11/2020,B1,C,2m,990,10.8,11.8,Inner bark,NA,NA,0.0772,0.0307,0.1079,0.715477294
C16,4-leaf fall,293,182,10/11/2020,B1,C,2m,990,10.8,11.8,Xylem,NA,NA,0.0162,0.0202,0.0364,0.445054945
C17,4-leaf fall,293,182,10/11/2020,B3,C,2m,793,13.6,10.3,Inner bark,NA,NA,0.0535,0.0257,0.0792,0.675505051
C18,4-leaf fall,293,182,10/11/2020,B3,C,2m,793,13.6,10.3,Xylem,NA,NA,0.0158,0.0178,0.0336,0.470238095
C19,4-leaf fall,293,182,10/11/2020,B3,C,2m,799,11.9,7.7,Inner bark,NA,NA,0.0556,0.0311,0.0867,0.641291811
C20,4-leaf fall,293,182,10/11/2020,B3,C,2m,799,11.9,7.7,Xylem,NA,NA,0.0214,0.0149,0.0363,0.58953168
C21,4-leaf fall,293,182,10/11/2020,B4,C,2m,13,11.80889495,11.2,Inner bark,NA,NA,0.0757,0.0516,0.1273,0.594658288
C22,4-leaf fall,293,182,10/11/2020,B4,C,2m,13,11.80889495,11.2,Xylem,NA,NA,0.0179,0.027,0.0449,0.398663697
C23,4-leaf fall,293,182,10/11/2020,B4,C,2m,18,13.5,13.7,Inner bark,NA,NA,0.0483,0.0283,0.0766,0.630548303
C24,4-leaf fall,293,182,10/11/2020,B4,C,2m,18,13.5,13.7,Xylem,NA,NA,0.0175,0.0249,0.0424,0.412735849
